作物,编号,难度,query,gold_sla,gold_vga
大豆,S-Q25,L3,我想复原一种古老神秘的特种祭祀豆：它必须同时具备纯黑的种皮、绿色的子叶、褐色的肚脐，连开的花都得是纯白的，并且茸毛一根都没有，生长期还得超过130天慢慢积淀精华。,"粒色, 子叶色, 脐色, 花色, 生育日数",粒色 LIKE '%黑%'；子叶色='绿'；脐色 LIKE '%褐%'；花色='白花'；茸毛色='无毛'；生育日数 > 130
大豆,S-Q26,L3,找一种能在高光效立体种植中打底层的大豆品种：极其矮壮不挡光，但极度耐密植必须直立，而且为了增加库容抢产量，单粒重量必须逆天地上到28克以上，有这种怪物吗？,"株高, 生长习性, 百粒重",株高 < 45；生长习性 = '直立'；百粒重 > 28.0
大豆,S-Q27,L3,推荐几个榨油提纯率高到离谱的高端春播大豆品种：要求粗脂肪突破变态的24%，粗蛋白无所谓直接压到30%以下，但为了榨出好油，加工品质必须是顶级，而且是春天种下的。,"粗脂肪, 粗蛋白, 子叶色, 类型",粗脂肪 > 24.0；粗蛋白 < 30.0；子叶色 = '黄'；类型 LIKE '%春%'
大豆,S-Q28,L3,挑战找一下违背机器采收规律的大豆品种：明明是个矮秆，却偏偏像藤蔓一样到处爬，不仅熟得不均匀一直开花结荚，而且豆子上长满棕色的毛，不仅招虫子还难看。,"生长习性, 结荚习性, 茸毛色, 株高",株高 < 60；生长习性 LIKE '%蔓生%'；结荚习性 = '无限'；茸毛色 = '棕毛'
大豆,S-Q29,L3,我在找一个能跨越纬度种植的大豆品种：能抗蚜虫，对光照极其迟钝高低纬都能种，既能直立抗倒，蛋白还必须稳在45%以上的优质良种。,"粗蛋白, 生长习性, 生育/份, 株高, 生育日数",茸毛色 = '灰毛'；花色 = '白花'；生长习性 = '直立'；粗蛋白 > 45.0
大豆,S-Q30,L3,寻找极其依赖单株爆发力的极端夏季大豆种质：夏天种下去，生命周期被极限压缩在80天内，为了短时间抢产量，灌浆速度极其恐怖，表现为百粒重能迅速冲过25克基准线，且植株要拼命往高长来抢夺有限阳光，绝不能爬地。,"生育日数, 百粒重, 生长习性, 株高",类型 LIKE '%夏%'；生育日数 <= 80；百粒重 > 25.0；株高 > 120；生长习性 = '直立'
小麦,W-Q01,L1,推荐一些能用来做高档面包的强筋底料，面筋强度必须要够。,"沉淀值, 粗蛋白, 硬度","粗蛋白>=16.0；沉淀值>=35.0；硬度 BETWEEN 70.0 AND 120.0；粒色 IN (""白"",""白色"",""白粒"")；"
小麦,W-Q02,L1,磨坊老板喜欢收那种出粉率特别高、白白净净的麦子，库里有吗？,"容重, 粒色, 硬度, 壳色","容重>=800.0；粒色 IN (""白"",""白色"",""白粒"")；粒色 IN (""浅红"",""淡红"",""红白"",""黄褐"")；硬度 BETWEEN 60.0 AND 90.0；"
小麦,W-Q03,L1,找一找那种极其耐旱、在缺水旱地里生命力最顶级的小麦品种。,抗旱性,抗旱性 = '极强'
小麦,W-Q04,L1,帮我看看有没有那种植株很矮、不容易被大风刮倒的小麦。,株高,株高 < 80
小麦,W-Q05,L1,我需要能扛住倒春寒的冬麦，田间受冻表现必须过硬。,"冬春, 田间抗寒性","冬春 LIKE '%冬%'；田间抗寒性 IN ('强', '极强')"
小麦,W-Q06,L1,查一下那些专门用来做糕点和饼干的软质麦，质地越软越好。,硬度,硬度 < 15.0
小麦,W-Q07,L1,有没有那种麦头特别重，单穗能打下特别多麦粒的繁茂型小麦种质？,"穗粒数, 千粒重, 穗长",穗粒数>=90；千粒重>=60.0；穗长>=18.0；
小麦,W-Q08,L1,找一些在沿海盐碱地刚播种发芽时就能活下来的小麦品种。,芽期耐盐,"芽期耐盐 IN ('耐盐', '高耐')"
小麦,W-Q09,L1,帮我找找那些不怕“烂麦穗”的优质抗病小麦品种。,"赤霉病抗性, 粗蛋白, 沉淀值, 根腐穗抗性","赤霉病抗性 IN (""高抗"",""抗病"",""中抗"")；根腐穗抗性 IN (""高抗"",""抗病"",""中抗"")；粗蛋白>=18.0；沉淀值>=35.0；"
小麦,W-Q10,L1,库里有没有那种穗子极其修长，长度能超过15公分的特异小麦品种？,穗长,穗长 > 15.0
小麦,W-Q11,L2,需要找个在黄淮海能抢收的白麦：籽粒得够大，但绝不能是晚熟，怕耽误种下茬玉米。,"粒色, 熟性, 千粒重",粒色 LIKE '%白%'；千粒重 > 45.0；熟性 NOT LIKE '%晚%'
小麦,W-Q12,L2,有没有适合做高档拉面的越冬底料的小麦品种？不仅蛋白得及格，沉淀值也得稳在35以上才劲道。,"冬春, 粗蛋白, 沉淀值",冬春 LIKE '%冬%'；粗蛋白 > 14.0；沉淀值 > 35.0
小麦,W-Q13,L2,我想培育一种锈病绝缘体：条锈和叶锈这俩“黄疸病”起码都得达到中抗以上的防御级别的小麦。,"条锈病抗性, 叶锈病抗性","条锈病抗性 IN ('中抗', '抗', '高抗', '免疫')；叶锈病抗性 IN ('中抗', '抗', '高抗', '免疫')"
小麦,W-Q14,L2,帮我捞几个小麦品种，矮秆大穗的矛盾体：植株压在80公分以下防倒，但结出来的穗子必须长于12公分。,"株高, 穗长",株高 < 80.0；穗长 > 12.0
小麦,W-Q15,L2,找一些能在重盐碱地里长出大麦粒的神仙小麦材料：苗期高耐盐，且千粒重绝对不低于平均水平。,"苗期耐盐, 千粒重",苗期耐盐 = '高耐'；千粒重 >= 35.0
小麦,W-Q16,L2,有没有出粉率极高但籽粒极其袖珍干瘪的特殊硬质小麦材料？,"硬度, 容重, 千粒重",容重 > 820.0；千粒重 < 25.0；硬度 > 30.0
小麦,W-Q17,L2,推荐几个外观“光秃秃”的红麦：没长芒，壳也是红的，里面粒还是红的，最好是春播的。,"芒, 壳色, 粒色, 冬春",芒 LIKE '%无%'；壳色 LIKE '%红%'；粒色 LIKE '%红%'；冬春 LIKE '%春%'
小麦,W-Q18,L2,我想找那种极其抗冻的小麦：不仅田间自然冻不死，人工冷库测试也得是最顶级，而且蛋白不能太差。,"田间抗寒性, 人工抗寒性, 粗蛋白",田间抗寒性 = '极强'；人工抗寒性 = '极强'；粗蛋白 > 14.0
小麦,W-Q19,L2,查一下有没有根腐病免疫的红壳麦，不管是叶子腐烂还是穗子腐烂的抗性，都得是抗病级别的。,"壳色, 根腐叶病抗性, 根腐穗抗性","壳色 LIKE '%红%'；根腐叶病抗性 IN ('抗', '高抗', '免疫')；根腐穗抗性 IN ('抗', '高抗', '免疫')"
小麦,W-Q20,L2,找一下那种结粒极多但严重不饱满的缺陷库：一穗能结70粒以上，但里面全是空的，容重低得可怜的小麦。,"穗粒数, 千粒重, 容重",穗粒数 > 70；容重 < 600.0
小麦,W-Q21,L3,我想挑战培育强筋天花板的超级面包麦，为了出白面必须是硬质白粒。,"粒色, 硬度, 沉淀值, 粗蛋白",粗蛋白 > 18.0；沉淀值 > 55.0；赖氨酸 > 0.6；硬度 > 40.0；粒色 LIKE '%白%'；容重 > 800.0
小麦,W-Q22,L3,帮我捞几个‘终极抗逆底座’，小麦作物：旱、涝、田间的严寒、发芽期的盐碱这四种灾害全部要求抗性最顶级，而且防倒伏。,"抗旱性, 耐涝性, 田间抗寒性, 芽期耐盐, 株高",抗旱性 = '极强'；耐涝性 = '极强'；田间抗寒性 = '极强'；芽期耐盐 = '高耐'；株高 <= 70.0
小麦,W-Q23,L3,寻找能打破‘源库矛盾’的神仙小麦基因：株高不足60公分的极矮秆，却能顶着超40克的大粒和破80粒的巨穗，同时饱满度极高。,"株高, 千粒重, 穗粒数, 容重",株高 < 60.0；千粒重 > 40.0；穗粒数 > 80；容重 > 800.0
小麦,W-Q24,L3,有没有全能型的防病避灾克星：白粉病和条、叶、秆三种锈病全都不怕，为了躲避五月的干热风，还得是早熟的春麦。,"白粉反应型, 条锈病抗性, 叶锈病抗性, 秆锈病抗性, 冬春, 熟性","白粉反应型 IN ('高抗', '免疫')；条锈病抗性 IN ('高抗', '免疫')；叶锈病抗性 IN ('高抗', '免疫')；秆锈病抗性 IN ('高抗', '免疫')；熟性 LIKE '%早%'；冬春 LIKE '%春%'"
小麦,W-Q25,L3,我想复原一种罕见外观的顶级软质饼干麦：秃头没芒，红壳红粒，但里面营养极低，质地软到极致，极其适合做酥脆糕点。,"芒, 壳色, 粒色, 硬度, 粗蛋白, 赖氨酸, 沉淀值",芒 LIKE '%无%'；壳色 LIKE '%红%'；粒色 LIKE '%红%'；粗蛋白 < 10.0；硬度 < 15.0
小麦,W-Q26,L3,找一种能在黄淮高发病区救场的完美小麦材料：必须对烂麦穗有极高抵抗力，熟得必须极早来躲雨季，籽粒得够分量，但植株重心要稳在最佳区间。,"赤霉病抗性, 熟性, 千粒重, 株高","赤霉病抗性 IN ('高抗', '免疫')；熟性 IN ('极早', '早早', '早熟')；千粒重 > 45.0；株高 BETWEEN 75 AND 85"
小麦,W-Q27,L3,推荐几个能在盐碱地里当饲料酿酒的小麦种质：从发芽到长苗全部高耐盐，更夸张的是粗蛋白竟然能破20%，但籽粒极度干瘪，完全没法当正常口粮。,"芽期耐盐, 苗期耐盐, 粗蛋白, 千粒重",芽期耐盐 = '高耐'；苗期耐盐 = '高耐'；粗蛋白 > 20.0；容重 < 550.0；千粒重 < 20.0
小麦,W-Q28,L3,挑战一下违背排布规律的原始冬麦：明明穗子长到变态的25公分以上，但上面结的粒却少得可怜，排布极度稀疏，这种基因库里的漏网之鱼有吗？,"穗长, 穗粒数, 冬春",穗长 > 25.0；穗粒数 < 20；冬春 LIKE '%冬%'
小麦,W-Q29,L3,我在找一个能做顶级拉面的白粒过冬专用品小麦：为了防冻，田间抗寒必须强，硬度适中不软不硬，沉淀值高达45以上拉面才不断，蛋白死死卡在最佳区间。,"粒色, 冬春, 田间抗寒性, 硬度, 沉淀值, 粗蛋白","粒色 LIKE '%白%'；冬春 LIKE '%冬%'；田间抗寒性 IN ('强', '极强')；硬度 BETWEEN 20 AND 30；沉淀值 > 45.0；粗蛋白 BETWEEN 14.5 AND 15.5"
小麦,W-Q30,L3,寻找极其依赖主穗爆发力的灾后抢收小麦种质：春天播种，生长期被极度压缩，为了在短时间内抢回产量，不仅单穗结实爆发，麦头极重，而且植株必须拼命往高窜去抢夺阳光。,"冬春, 熟性, 穗粒数, 千粒重, 株高","冬春 LIKE '%春%'；熟性 IN ('极早', '早熟')；穗粒数 > 90；千粒重 > 40.0；株高 > 120.0"
